"Pays","Capitale administrative","Funfact 1","Funfact 2","Funfact 3"
"Émirats arabes unis","Abou Dabi","Abou Dabi possède une île artificielle appelée Saadiyat, dédiée à la culture avec des musées prestigieux comme le Louvre Abu Dhabi","le Burj Khalifa à Dubaï, la plus haute tour du monde, culmine à 828 mètres","les Émirats Arabes Unis ont la plus grande flotte de voitures de luxe par habitant."
"Nigeria","Abuja","Abuja, la capitale du Nigeria, a été construite dans les années 1980 pour remplacer Lagos et mieux représenter la diversité ethnique du pays","Le Nigeria est le plus grand producteur de films en Afrique, avec une industrie cinématographique appelée ""Nollywood"" qui produit plus de films par an que Hollywood","Le fleuve Niger, troisième plus long fleuve d'Afrique, traverse le Nigeria, fournissant eau et ressources à des millions de personnes."
"Ghana","Accra","Accra possède l'un des marchés en plein air les plus animés d'Afrique de l'Ouest, le marché d'Artisans","le Ghana est le premier pays d'Afrique subsaharienne à avoir remporté la Coupe d'Afrique des Nations en 1963","le parc national de Kakum près d'Accra dispose d'une passerelle suspendue à 30 mètres de hauteur offrant une vue spectaculaire sur la canopée."
"Turkménistan","Achgabat","Achgabat détient le record du monde pour la plus grande concentration de bâtiments en marbre blanc","le Turkménistan a un désert de Karakoum qui couvre environ 70 % de son territoire","la porte d'entrée du pays, la «Porte de l’Enfer», est un cratère de gaz en feu depuis plus de 50 ans."
"Éthiopie","Addis-Abeba","Addis-Abeba signifie ""fleur nouvelle"" en langue amharique","l'Éthiopie est le seul pays africain à n'avoir jamais été colonisé","c'est aussi le pays d'origine du café, découvert dans la région de Kaffa."
"Yémen","Sanaa, Aden","Sanaa possède l’une des plus anciennes villes habitées continuellement au monde avec des bâtiments datant de plus de 2 500 ans","Aden abrite un port naturel exceptionnellement profond, ce qui en fait un point stratégique majeur pour le commerce maritime depuis l’Antiquité","au Yémen, le café est originaire des montagnes de la région de Mocha, célèbre mondialement pour avoir donné son nom au café moka."
"Algérie","Alger","Alger est surnommée ""Alger la Blanche"" en raison de ses bâtiments blanchis à la chaux","l'Algérie est le plus grand pays d'Afrique par sa superficie","le Raï, genre musical populaire, est originaire d'Algérie, plus précisément de la région d'Oran."
"Niue","Alofi","Niue est l'un des plus grands atolls coralliens du monde entièrement émergé","Alofi, la capitale, est connue pour être l'une des plus petites capitales nationales en population","l'île est surnommée ""l'île de roche"" en raison de son paysage calcaire unique et ses formations karstiques."
"Jordanie","Amman","Amman est construite sur sept collines, ce qui lui donne un relief unique","la Jordanie abrite la mer Morte, le point le plus bas sur Terre à environ 430 mètres sous le niveau de la mer","Petra, en Jordanie, est une cité taillée dans la roche rose et a été redécouverte seulement en 1812 après avoir été perdue pendant des siècles."
"Pays-Bas","Amsterdam, La Haye","Amsterdam compte plus de canaux que Venise, avec plus de 100 kilomètres répartis sur 165 canaux","La Haye est la seule ville des Pays-Bas à posséder un palais royal utilisé régulièrement par la famille royale","Les Pays-Bas ont été les premiers au monde à légaliser le mariage entre personnes de même sexe en 2001."
"Andorre","Andorre-la-Vieille","Andorre est le sixième plus petit pays d'Europe","Andorre-la-Vieille est la capitale la plus haute d'Europe, située à environ 1 023 mètres d'altitude","le pays n’a pas d'aéroport international et l’accès principal se fait par la route depuis la France ou l’Espagne."
"Turquie","Ankara","Ankara abrite le mausolée d'Atatürk, fondateur de la République turque","la ville est située sur une ancienne route commerciale entre l’Asie et l’Europe","la Turquie est le seul pays au monde à chevaucher deux continents, l'Europe et l'Asie."
